date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:46	8005/8005	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2016:00:45%20GMT	https://orderrequirement.com/index.php?email=admin@testing.com	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/index0a1a.html	(from )
00:00:47	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jan%202022%2016:00:45%20GMT	https://orderrequirement.com/robots.txt		(from )
00:00:47	117150/117150	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Mar%202015%2004:03:30%20GMT	https://orderrequirement.com/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/bootstrap/css/bootstrap.min.css	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:47	29063/29063	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202016%2020:31:26%20GMT	https://orderrequirement.com/bootstrap/css/font-awesome.min.css	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/bootstrap/css/font-awesome.min.css	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:48	89847/89847	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Mar%202021%2023:45:34%20GMT	https://orderrequirement.com/dist/css/AdminLTE.min.css	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/dist/css/AdminLTE.min.css	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:48	23278/23278	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Mar%202021%2000:46:58%20GMT	https://orderrequirement.com/dist/css/skins/_all-skins.min.css	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/dist/css/skins/_all-skins.min.css	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:48	7537/7537	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Mar%202021%2023:39:56%20GMT	https://orderrequirement.com/logo.png	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/logo.png	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:48	7988/7988	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2016:00:47%20GMT	https://orderrequirement.com/index	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/index.html	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:49	68377/68377	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2022:57:11%20GMT	https://orderrequirement.com/default.png	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/default.png	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:49	143038/143038	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Mar%202021%2003:32:11%20GMT	https://orderrequirement.com/1.png	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/1.png	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:49	26694/26694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Mar%202021%2003:35:24%20GMT	https://orderrequirement.com/2.jpeg	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/2.jpg	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:50	67101/67101	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Mar%202021%2003:38:36%20GMT	https://orderrequirement.com/3.jpg	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/3.jpg	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:50	26259/26259	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Mar%202021%2016:40:32%20GMT	https://orderrequirement.com/figure-a.jpg	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/figure-a.jpg	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:50	4540/4540	---M--	200	added ('OK')	image/gif	date:Fri,%2019%20Mar%202021%2012:00:05%20GMT	https://orderrequirement.com/loading.gif	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/loading.gif	(from https://orderrequirement.com/index.php?email=admin@testing.com)
00:00:50	84319/84319	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2006%20Mar%202015%2004:03:30%20GMT	https://orderrequirement.com/plugins/jQuery/jQuery-2.1.3.min.js	C:/My%20Web%20Sites/ondrive%20phishing/orderrequirement.com/plugins/jQuery/jQuery-2.1.3.min.js	(from https://orderrequirement.com/index.php?email=admin@testing.com)
